Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.jfree.chart.renderer.xy.XYLineAndShapeRenderer::drawPrimaryLine(org.jfree.chart.renderer.xy.XYItemRendererState, java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, org.jfree.data.xy.XYDataset, int, int, int, org.jfree.chart.axis.ValueAxis, org.jfree.chart.axis.ValueAxis, java.awt.geom.Rectangle2D):void	org.jfree.chart.plot.XYPlot	1/3	
Move Method	org.jfree.chart.renderer.xy.XYLineAndShapeRenderer::drawPrimaryLineAsPath(org.jfree.chart.renderer.xy.XYItemRendererState, java.awt.Graphics2D, org.jfree.chart.plot.XYPlot, org.jfree.data.xy.XYDataset, int, int, int, org.jfree.chart.axis.ValueAxis, org.jfree.chart.axis.ValueAxis, java.awt.geom.Rectangle2D):void	org.jfree.chart.plot.XYPlot	1/3	
Move Method	org.jfree.data.general.WaferMapDataset::getUniqueValues():java.util.Set	org.jfree.data.DefaultKeyedValues2D	1/3	
Move Method	org.jfree.data.general.WaferMapDataset::getChipValue(java.lang.Comparable, java.lang.Comparable):java.lang.Number	org.jfree.data.DefaultKeyedValues2D	1/3	
Move Method	org.jfree.chart.axis.ModuloAxis::mapValueToFixedRange(double):double	org.jfree.data.Range	1/2	
Move Method	org.jfree.chart.renderer.category.AbstractCategoryItemRenderer::updateCrosshairValues(org.jfree.chart.plot.CategoryCrosshairState, java.lang.Comparable, java.lang.Comparable, double, int, double, double, org.jfree.chart.plot.PlotOrientation):void	org.jfree.chart.plot.CategoryCrosshairState	1/2	
Move Method	org.jfree.data.flow.DefaultFlowDataset::getInFlows(org.jfree.data.flow.NodeKey):java.util.List<org.jfree.data.flow.FlowKey<K>>	org.jfree.data.flow.NodeKey	1/2	
Move Method	org.jfree.chart.swing.MouseWheelHandler::handleZoomable(org.jfree.chart.plot.Zoomable, java.awt.event.MouseWheelEvent):void	org.jfree.chart.swing.ChartPanel	2/4	
Move Method	org.jfree.chart.StandardChartTheme::applyToSpiderWebPlot(org.jfree.chart.plot.SpiderWebPlot):void	org.jfree.chart.plot.SpiderWebPlot	2/3	
Move Method	org.jfree.data.time.DynamicTimeSeriesCollection::getX(org.jfree.data.time.RegularTimePeriod):long	org.jfree.data.time.RegularTimePeriod	2/3	
